time	V(n001)	V(n002)	V(n003)
7.205843915188259e-002	9.936543e-001	6.313983e-002	9.770026e-001
7.205963821417388e-002	9.929029e-001	6.556481e-002	9.779843e-001
7.206123696389560e-002	9.919013e-001	6.959445e-002	9.796156e-001
7.206279427820034e-002	9.909259e-001	7.461182e-002	9.816468e-001
7.206341720392223e-002	9.905359e-001	7.758291e-002	9.828495e-001
7.206422134087849e-002	9.900324e-001	8.246266e-002	9.848247e-001
7.206481908283750e-002	9.896583e-001	8.729739e-002	9.867817e-001
7.206517130475086e-002	9.894379e-001	9.118555e-002	9.883553e-001
7.206550403184152e-002	9.892297e-001	9.618556e-002	9.903790e-001
7.206580818318457e-002	9.890393e-001	1.023997e-001	9.928937e-001
7.206604125384929e-002	9.888935e-001	1.091254e-001	9.956151e-001
7.206627100517327e-002	9.887497e-001	1.191908e-001	9.996876e-001
7.206655044210757e-002	9.885749e-001	1.385213e-001	1.007508e+000
7.206681004582589e-002	9.884125e-001	1.678168e-001	1.019361e+000
7.206709395030084e-002	9.882349e-001	2.180756e-001	1.039697e+000
